Locality,Ss,Sr,S
Merritt,1.8,0.3,1.63
Mission City,2.4,0.3,2.07
Montrose,4.1,0.1,3.13
Nakusp,4.4,0.1,3.35
Nanaimo,2.1,0.4,1.95
Nelson,4.2,0.1,3.2
Ocean Falls,3.9,0.8,3.68
Osoyoos,1.1,0.1,0.91
Parksville,2,0.4,1.88
Penticton,1.3,0.1,1.06
Port Alberni,2.6,0.4,2.32
Port Alice,1.1,0.4,1.21
Port Hardy,0.9,0.4,1.07
Port McNeill,1.1,0.4,1.21
Port Renfrew,1.1,0.4,1.21
Powell River,1.7,0.4,1.66
Prince George,3.4,0.2,2.71
Prince Rupert,1.9,0.4,1.8
Princeton,2.9,0.6,2.74
Qualicum Beach,2,0.4,1.88
Queen Charlotte City,1.8,0.4,1.73
Quesnel,3,0.1,2.32
Revelstoke,7.2,0.1,5.42
Salmon Arm,3.5,0.1,2.69
Sandspit,1.8,0.4,1.73
Sechelt,1.8,0.4,1.73
Sidney,1.1,0.2,1.01
Smith River,2.8,0.1,2.17
Smithers,3.5,0.2,2.79
Sooke,1.3,0.3,1.26
Squamish,2.8,0.7,2.77
Stewart,7.9,0.8,6.64
Tahsis,1.1,0.4,1.21
Taylor,2.3,0.1,1.8
Terrace,5.4,0.6,4.59
Tofino,1.1,0.4,1.21
Trail,4.1,0.1,3.13
Ucluelet,1,0.4,1.14
Vancouver Region - Burnaby (Simon Fraser Univ.),2.9,0.7,2.84
Vancouver Region - Cloverdale,2.5,0.2,2.05
Vancouver Region - Haney,2.4,0.2,1.97
Vancouver Region - Ladner,1.3,0.2,1.16
Vancouver Region - Langley,2.4,0.2,1.97
Vancouver Region - New Westminster,2.3,0.2,1.9
Vancouver Region - North Vancouver,3,0.3,2.52
Vancouver Region - Richmond,1.5,0.2,1.31
Vancouver Region - Surrey (88 Ave & 156 St.),2.4,0.3,2.07
Vancouver Region - Vancouver (City Hall),1.8,0.2,1.53
Vancouver Region - Vancouver (Granville & 41 Ave),1.9,0.3,1.7
